mode,n,S,trial,comparisons,time_s
hybrid,1000,1,1,8715,0.004225100041367114
hybrid,1000,1,2,8672,0.004088500048965216
hybrid,1000,1,3,8691,0.004442500066943467
hybrid,1000,2,1,8559,0.0034347999608144164
hybrid,1000,2,2,8554,0.003707599942572415
hybrid,1000,2,3,8577,0.0038023999659344554
hybrid,1000,3,1,8537,0.003588699968531728
hybrid,1000,3,2,8469,0.005631500040180981
hybrid,1000,3,3,8543,0.003891300060786307
hybrid,1000,4,1,8472,0.0019281998975202441
hybrid,1000,4,2,8466,0.0017742000054568052
hybrid,1000,4,3,8419,0.0025770000647753477
hybrid,1000,5,1,8396,0.002023999928496778
hybrid,1000,5,2,8417,0.0017791000427678227
hybrid,1000,5,3,8399,0.0022529999259859324
hybrid,1000,6,1,8439,0.0017509999452158809
hybrid,1000,6,2,8430,0.001752600073814392
hybrid,1000,6,3,8421,0.0027438999386504292
hybrid,1000,7,1,8348,0.0019480999326333404
hybrid,1000,7,2,8394,0.0018553000409156084
hybrid,1000,7,3,8436,0.0021730000153183937
hybrid,1000,8,1,8252,0.0015788000309839845
hybrid,1000,8,2,8262,0.0015444000018760562
hybrid,1000,8,3,8187,0.0019759000279009342
hybrid,1000,9,1,8261,0.0025737000396475196
hybrid,1000,9,2,8290,0.0017005999106913805
hybrid,1000,9,3,8316,0.0016519000055268407
hybrid,1000,10,1,8300,0.0019076999742537737
hybrid,1000,10,2,8267,0.0031168999848887324
hybrid,1000,10,3,8246,0.0023572000209242105
hybrid,1000,11,1,8261,0.001593399909324944
hybrid,1000,11,2,8287,0.0015808000462129712
hybrid,1000,11,3,8266,0.0015959999291226268
hybrid,1000,12,1,8199,0.0016086000250652432
hybrid,1000,12,2,8226,0.0020254000555723906
hybrid,1000,12,3,8200,0.0015623000217601657
hybrid,1000,13,1,8281,0.0016708000330254436
hybrid,1000,13,2,8285,0.0016494999872520566
hybrid,1000,13,3,8229,0.0016081000212579966
hybrid,1000,14,1,8304,0.0015966000501066446
hybrid,1000,14,2,8288,0.0016660999972373247
hybrid,1000,14,3,8364,0.0020723999477922916
hybrid,1000,15,1,8268,0.0018775000935420394
hybrid,1000,15,2,8206,0.0016431000549346209
hybrid,1000,15,3,8179,0.0018244999228045344
hybrid,1000,16,1,8160,0.0015040000434964895
hybrid,1000,16,2,8136,0.001436399994418025
hybrid,1000,16,3,8092,0.0015789000317454338
hybrid,1000,17,1,8035,0.0019253999926149845
hybrid,1000,17,2,8209,0.0015200999332591891
hybrid,1000,17,3,8152,0.0014465999556705356
hybrid,1000,18,1,8187,0.0015658000484108925
hybrid,1000,18,2,8087,0.001474499935284257
hybrid,1000,18,3,8184,0.0015164000215008855
hybrid,1000,19,1,8149,0.0014378000050783157
hybrid,1000,19,2,8090,0.0028014000272378325
hybrid,1000,19,3,8164,0.002334300079382956
hybrid,1000,20,1,8095,0.00148460001219064
hybrid,1000,20,2,8079,0.0019447000231593847
hybrid,1000,20,3,8053,0.0014891000464558601
hybrid,1000,21,1,8044,0.0014492999762296677
hybrid,1000,21,2,8158,0.0018470999784767628
hybrid,1000,21,3,8167,0.0019694999791681767
hybrid,1000,22,1,8146,0.0016597999492660165
hybrid,1000,22,2,8184,0.0014687000075355172
hybrid,1000,22,3,8065,0.0018816000083461404
hybrid,1000,23,1,8034,0.0016339999856427312
hybrid,1000,23,2,8078,0.0020178001141175628
hybrid,1000,23,3,8253,0.001601099967956543
hybrid,1000,24,1,8022,0.0015131999971345067
hybrid,1000,24,2,8069,0.002017600112594664
hybrid,1000,24,3,8176,0.0014238000148907304
hybrid,1000,25,1,8047,0.001916400040499866
hybrid,1000,25,2,8110,0.0015170000260695815
hybrid,1000,25,3,8217,0.002168899984098971
hybrid,1000,26,1,8213,0.0018090000376105309
hybrid,1000,26,2,8140,0.001423400011844933
hybrid,1000,26,3,8046,0.0014031000901013613
hybrid,1000,27,1,8064,0.0016113999299705029
hybrid,1000,27,2,8016,0.0022513000294566154
hybrid,1000,27,3,8132,0.002278300002217293
hybrid,1000,28,1,8078,0.0016679000109434128
hybrid,1000,28,2,8135,0.0021790999453514814
hybrid,1000,28,3,8009,0.0019426000071689487
hybrid,1000,29,1,7990,0.0015805000439286232
hybrid,1000,29,2,8139,0.0019325000466778874
hybrid,1000,29,3,8242,0.0019101999932900071
hybrid,1000,30,1,8186,0.004366700071841478
hybrid,1000,30,2,7936,0.0018898999551311135
hybrid,1000,30,3,8110,0.001766399946063757
hybrid,1000,31,1,7824,0.0036415000213310122
hybrid,1000,31,2,7818,0.0057836000341922045
hybrid,1000,31,3,7877,0.0030001000268384814
hybrid,1000,32,1,7827,0.0019401999888941646
hybrid,1000,32,2,7899,0.0014392000157386065
hybrid,1000,32,3,7976,0.003566000028513372
hybrid,1000,33,1,7755,0.002364699961617589
hybrid,1000,33,2,8021,0.0028432999970391393
hybrid,1000,33,3,7750,0.001676799962297082
hybrid,1000,34,1,7971,0.0013021999038755894
hybrid,1000,34,2,7902,0.0016398000298067927
hybrid,1000,34,3,7700,0.0014482999686151743
hybrid,1000,35,1,7747,0.0014645999763160944
hybrid,1000,35,2,7978,0.0017192999366670847
hybrid,1000,35,3,7893,0.0015079000731930137
hybrid,1000,36,1,7780,0.0014115000376477838
hybrid,1000,36,2,7965,0.0014399000210687518
hybrid,1000,36,3,7972,0.0013774000108242035
hybrid,1000,37,1,7929,0.0015181000344455242
