mode,n,S,trial,comparisons,time_s
hybrid,100000,1,1,1535759,0.5439294000389054
hybrid,100000,1,2,1535906,0.4874518000287935
hybrid,100000,1,3,1536072,0.5601181000238284
hybrid,100000,2,1,1530693,0.5254664000822231
hybrid,100000,2,2,1530469,0.46342329995241016
hybrid,100000,2,3,1531044,0.4527395999757573
hybrid,100000,3,1,1511218,0.48018720000982285
hybrid,100000,3,2,1511411,0.5916950999526307
hybrid,100000,3,3,1511250,0.4431461999192834
hybrid,100000,4,1,1510508,0.41305129998363554
hybrid,100000,4,2,1510579,0.4752161999931559
hybrid,100000,4,3,1511007,0.4661644999869168
hybrid,100000,5,1,1510553,0.5384467999683693
hybrid,100000,5,2,1511018,0.4469378999201581
hybrid,100000,5,3,1511286,0.49774739996064454
hybrid,100000,6,1,1499396,0.43654859997332096
hybrid,100000,6,2,1499412,0.5566048000473529
hybrid,100000,6,3,1499430,0.38663049996830523
hybrid,100000,7,1,1497724,0.42712369991932064
hybrid,100000,7,2,1498420,0.4102681999793276
hybrid,100000,7,3,1497892,0.42010980006307364
hybrid,100000,8,1,1498872,0.38336670002900064
hybrid,100000,8,2,1498001,0.45538409997243434
hybrid,100000,8,3,1498536,0.4125217000255361
hybrid,100000,9,1,1497890,0.43602839997038245
hybrid,100000,9,2,1497686,0.5179589999606833
hybrid,100000,9,3,1497938,0.6155767999589443
