mode,n,S,trial,comparisons,time_s
hybrid,1000,1,1,8690,0.004951899987645447
hybrid,1000,1,2,8719,0.0070587999653071165
hybrid,1000,1,3,8716,0.003827500040642917
hybrid,1000,2,1,8525,0.003455400001257658
hybrid,1000,2,2,8568,0.002216799999587238
hybrid,1000,2,3,8525,0.006517499918118119
hybrid,1000,3,1,8558,0.005041699972935021
hybrid,1000,3,2,8479,0.0021895000245422125
hybrid,1000,3,3,8540,0.002118699951097369
hybrid,1000,4,1,8475,0.0033551000524312258
hybrid,1000,4,2,8418,0.003028700011782348
hybrid,1000,4,3,8437,0.0060798999620601535
hybrid,1000,5,1,8439,0.002038500038906932
hybrid,1000,5,2,8437,0.0018958000000566244
hybrid,1000,5,3,8418,0.0018281000666320324
hybrid,1000,6,1,8475,0.0018011999782174826
hybrid,1000,6,2,8396,0.0030666999518871307
hybrid,1000,6,3,8460,0.0036594999255612493
hybrid,1000,7,1,8419,0.005206600064411759
hybrid,1000,7,2,8376,0.002912999945692718
hybrid,1000,7,3,8420,0.001957999891601503
hybrid,1000,8,1,8274,0.0021664000814780593
hybrid,1000,8,2,8233,0.0035990000469610095
hybrid,1000,8,3,8315,0.0026140999980270863
hybrid,1000,9,1,8260,0.0019019999308511615
hybrid,1000,9,2,8251,0.0018292999593541026
hybrid,1000,9,3,8241,0.0020051999017596245
hybrid,1000,10,1,8272,0.0017181000439450145
hybrid,1000,10,2,8237,0.001698699896223843
hybrid,1000,10,3,8242,0.0016174999764189124
hybrid,1000,11,1,8333,0.0016595999477431178
hybrid,1000,11,2,8283,0.0017106999875977635
hybrid,1000,11,3,8313,0.0017369999550282955
hybrid,1000,12,1,8278,0.0027652999851852655
hybrid,1000,12,2,8250,0.001650199992582202
hybrid,1000,12,3,8262,0.001853700028732419
hybrid,1000,13,1,8281,0.0016450999537482858
hybrid,1000,13,2,8328,0.0016693000216037035
hybrid,1000,13,3,8263,0.00233039993327111
hybrid,1000,14,1,8294,0.0018618999747559428
hybrid,1000,14,2,8273,0.0016012000851333141
hybrid,1000,14,3,8328,0.00169520010240376
hybrid,1000,15,1,8202,0.001817299984395504
hybrid,1000,15,2,8230,0.0016052999999374151
hybrid,1000,15,3,8235,0.0016339001012966037
hybrid,1000,16,1,8012,0.002797099994495511
hybrid,1000,16,2,8001,0.0017139000119641423
hybrid,1000,16,3,8234,0.0015286999987438321
hybrid,1000,17,1,8185,0.001484000007621944
hybrid,1000,17,2,8123,0.0013967999257147312
hybrid,1000,17,3,8117,0.001448199967853725
hybrid,1000,18,1,8209,0.0017332000425085425
hybrid,1000,18,2,8256,0.001676199957728386
hybrid,1000,18,3,8040,0.0014408000279217958
hybrid,1000,19,1,8056,0.001473599928431213
hybrid,1000,19,2,8104,0.001478100079111755
hybrid,1000,19,3,8308,0.0014313999563455582
hybrid,1000,20,1,7954,0.0013572999741882086
hybrid,1000,20,2,8128,0.0013558999635279179
hybrid,1000,20,3,7970,0.0015200999332591891
hybrid,1000,21,1,8217,0.001496699987910688
hybrid,1000,21,2,8155,0.001522800070233643
hybrid,1000,21,3,8031,0.0013833000557497144
hybrid,1000,22,1,8222,0.001509200083091855
hybrid,1000,22,2,8093,0.0015298000071197748
hybrid,1000,22,3,8053,0.0013726999750360847
hybrid,1000,23,1,8201,0.001702900044620037
hybrid,1000,23,2,8137,0.001563600031659007
