mode,n,S,trial,comparisons,time_s
hybrid,1000,0,1,8719,0.0036905999295413494
hybrid,1000,0,2,8715,0.004139500088058412
hybrid,1000,0,3,8753,0.004206400015391409
hybrid,1000,1,1,8726,0.003870600019581616
hybrid,1000,1,2,8701,0.003366700024344027
hybrid,1000,1,3,8719,0.004074800061061978
hybrid,1000,2,1,8573,0.0031199000077322125
hybrid,1000,2,2,8532,0.003675999934785068
hybrid,1000,2,3,8559,0.0038589000469073653
hybrid,1000,3,1,8527,0.003512699971906841
hybrid,1000,3,2,8555,0.0022097000619396567
hybrid,1000,3,3,8562,0.0030843999702483416
hybrid,1000,4,1,8437,0.002557900035753846
hybrid,1000,4,2,8441,0.0027272000443190336
hybrid,1000,4,3,8442,0.0018131000688299537
hybrid,1000,5,1,8405,0.0017763000214472413
hybrid,1000,5,2,8422,0.0017873999895527959
hybrid,1000,5,3,8405,0.0029921000823378563
hybrid,1000,6,1,8409,0.0018726000562310219
hybrid,1000,6,2,8434,0.0027799999807029963
hybrid,1000,6,3,8395,0.001969299977645278
hybrid,1000,7,1,8395,0.0017787000397220254
hybrid,1000,7,2,8369,0.0029485999839380383
hybrid,1000,7,3,8377,0.0031111000571399927
hybrid,1000,8,1,8284,0.0028911998961120844
hybrid,1000,8,2,8343,0.00310400000307709
hybrid,1000,8,3,8236,0.0038874000310897827
hybrid,1000,9,1,8256,0.002772900043055415
hybrid,1000,9,2,8286,0.0028882999904453754
hybrid,1000,9,3,8291,0.0027694000164046884
hybrid,1000,10,1,8290,0.003082499955780804
hybrid,1000,10,2,8263,0.0028339000418782234
hybrid,1000,10,3,8225,0.003309600055217743
hybrid,1000,11,1,8317,0.0030858999816700816
hybrid,1000,11,2,8268,0.0031902999617159367
hybrid,1000,11,3,8308,0.00315140001475811
hybrid,1000,12,1,8323,0.0025881000328809023
hybrid,1000,12,2,8321,0.0016604999545961618
hybrid,1000,12,3,8318,0.0025604000547900796
hybrid,1000,13,1,8222,0.0018213000148534775
hybrid,1000,13,2,8197,0.0015894999960437417
hybrid,1000,13,3,8356,0.002494300017133355
hybrid,1000,14,1,8257,0.0024564999621361494
hybrid,1000,14,2,8235,0.002532399957999587
hybrid,1000,14,3,8276,0.002176100038923323
hybrid,1000,15,1,8251,0.0023939000675454736
hybrid,1000,15,2,8132,0.0015119001036509871
hybrid,1000,15,3,8295,0.0018452999647706747
hybrid,1000,16,1,8124,0.0020533999195322394
hybrid,1000,16,2,8111,0.0019619999220594764
hybrid,1000,16,3,8088,0.0019864001078531146
hybrid,1000,17,1,8087,0.0021002000430598855
hybrid,1000,17,2,8059,0.0021276999032124877
hybrid,1000,17,3,8039,0.004255100036971271
hybrid,1000,18,1,8217,0.001672400045208633
hybrid,1000,18,2,8060,0.002401100005954504
hybrid,1000,18,3,8122,0.0027960999868810177
hybrid,1000,19,1,8057,0.002512000035494566
hybrid,1000,19,2,8065,0.0025472999550402164
hybrid,1000,19,3,8126,0.0014378000050783157
hybrid,1000,20,1,8027,0.002242899965494871
hybrid,1000,20,2,8128,0.0025554000167176127
hybrid,1000,20,3,8040,0.0021042999578639865
hybrid,1000,21,1,8107,0.002012800076045096
hybrid,1000,21,2,8146,0.002478600014001131
hybrid,1000,21,3,8183,0.0027433999348431826
hybrid,1000,22,1,8030,0.0017382000805810094
hybrid,1000,22,2,8203,0.0022261999547481537
hybrid,1000,22,3,8112,0.002673799986951053
hybrid,1000,23,1,8089,0.0025357999838888645
hybrid,1000,23,2,8187,0.0025729999179020524
hybrid,1000,23,3,8191,0.0025497000897303224
hybrid,1000,24,1,8155,0.0024762999964877963
hybrid,1000,24,2,8082,0.0026923000114038587
hybrid,1000,24,3,8098,0.002982800011523068
hybrid,1000,25,1,8052,0.0025561999063938856
hybrid,1000,25,2,8105,0.002778099966235459
hybrid,1000,25,3,8036,0.0026400999631732702
hybrid,1000,26,1,8187,0.0025399000151082873
hybrid,1000,26,2,8163,0.002735599991865456
hybrid,1000,26,3,8110,0.0026181000284850597
hybrid,1000,27,1,8172,0.002543100039474666
hybrid,1000,27,2,8099,0.002535899984650314
hybrid,1000,27,3,8030,0.002572000026702881
hybrid,1000,28,1,8016,0.002764499979093671
hybrid,1000,28,2,8077,0.0025739000411704183
hybrid,1000,28,3,7949,0.0025322999572381377
hybrid,1000,29,1,8171,0.00252920005004853
hybrid,1000,29,2,8110,0.0021422000136226416
hybrid,1000,29,3,8113,0.0017309000249952078
hybrid,1000,30,1,8067,0.0022629000013694167
hybrid,1000,30,2,8126,0.0022444999776780605
hybrid,1000,30,3,8166,0.0016564999241381884
hybrid,1000,31,1,8028,0.004425099934451282
hybrid,1000,31,2,7928,0.002001299988478422
hybrid,1000,31,3,7862,0.0015411999775096774
hybrid,1000,32,1,7577,0.002253500046208501
hybrid,1000,32,2,7972,0.0025145000545307994
hybrid,1000,32,3,7914,0.0024407999590039253
hybrid,1000,33,1,7744,0.0022589999716728926
hybrid,1000,33,2,7971,0.0023566000163555145
hybrid,1000,33,3,7863,0.0023644999600946903
hybrid,1000,34,1,7844,0.0021950999507680535
hybrid,1000,34,2,7913,0.0023762000491842628
hybrid,1000,34,3,7890,0.0022970999125391245
hybrid,1000,35,1,7911,0.002357000019401312
hybrid,1000,35,2,7965,0.002302700071595609
hybrid,1000,35,3,7972,0.0024838000535964966
hybrid,1000,36,1,7839,0.0024187000235542655
hybrid,1000,36,2,7686,0.0022806000197306275
hybrid,1000,36,3,7768,0.0023246000055223703
hybrid,1000,37,1,7779,0.002405500039458275
hybrid,1000,37,2,7927,0.002333099953830242
hybrid,1000,37,3,7805,0.0023765000514686108
hybrid,1000,38,1,7959,0.002370000001974404
hybrid,1000,38,2,7813,0.0022871000692248344
hybrid,1000,38,3,7968,0.002304999972693622
hybrid,1000,39,1,7757,0.0022388999350368977
hybrid,1000,39,2,8035,0.0022814000258222222
hybrid,1000,39,3,7633,0.0021772999316453934
hybrid,1000,40,1,8075,0.0028354000532999635
hybrid,1000,40,2,7876,0.0023650999646633863
hybrid,1000,40,3,7911,0.00282839999999851
hybrid,1000,41,1,7903,0.002551599987782538
hybrid,1000,41,2,7962,0.0023808999685570598
hybrid,1000,41,3,7970,0.002396399970166385
hybrid,1000,42,1,8086,0.002320899977348745
hybrid,1000,42,2,7829,0.0022742999717593193
hybrid,1000,42,3,7764,0.002126000006683171
hybrid,1000,43,1,7857,0.002526800031773746
hybrid,1000,43,2,7774,0.0022923999931663275
hybrid,1000,43,3,7798,0.002549599972553551
hybrid,1000,44,1,7737,0.002153799985535443
hybrid,1000,44,2,7767,0.002252899925224483
hybrid,1000,44,3,7849,0.0024736999766901135
hybrid,1000,45,1,7701,0.0016769999638199806
hybrid,1000,45,2,7989,0.002510500024072826
hybrid,1000,45,3,7766,0.00173810007981956
hybrid,1000,46,1,7907,0.0035453999880701303
hybrid,1000,46,2,7764,0.0025180999655276537
hybrid,1000,46,3,7798,0.0023616000544279814
hybrid,1000,47,1,7778,0.0028596000047400594
hybrid,1000,47,2,7847,0.0021591000258922577
hybrid,1000,47,3,7898,0.0024221999337896705
hybrid,1000,48,1,7882,0.0023275999119505286
hybrid,1000,48,2,7894,0.002342800027690828
hybrid,1000,48,3,7705,0.0012971999822184443
hybrid,1000,49,1,7953,0.0024446999887004495
hybrid,1000,49,2,7886,0.0023370999842882156
hybrid,1000,49,3,7932,0.00227719999384135
hybrid,1000,50,1,7827,0.0027253000298514962
hybrid,1000,50,2,7953,0.0023653999669477344
hybrid,1000,50,3,7866,0.0022682000417262316
hybrid,1000,51,1,7716,0.002230199985206127
hybrid,1000,51,2,7887,0.002314999932423234
hybrid,1000,51,3,7871,0.00229779991786927
hybrid,1000,52,1,7824,0.0024630000116303563
hybrid,1000,52,2,7808,0.00231259991414845
hybrid,1000,52,3,8032,0.002114000031724572
hybrid,1000,53,1,7928,0.0013448999961838126
hybrid,1000,53,2,7763,0.0012971999822184443
hybrid,1000,53,3,7726,0.0023379999911412597
hybrid,1000,54,1,7875,0.0023820000933483243
hybrid,1000,54,2,7879,0.0023515999782830477
hybrid,1000,54,3,7871,0.002309100003913045
hybrid,1000,55,1,8072,0.002302100067026913
hybrid,1000,55,2,7926,0.002230999991297722
hybrid,1000,55,3,7803,0.001812000060454011
hybrid,1000,56,1,7799,0.0018907999619841576
hybrid,1000,56,2,7844,0.002682700054720044
hybrid,1000,56,3,7945,0.0023815000895410776
hybrid,1000,57,1,7792,0.0027005000738427043
hybrid,1000,57,2,7828,0.0024025000166147947
hybrid,1000,57,3,7846,0.0022616999922320247
hybrid,1000,58,1,7895,0.0016823000041767955
hybrid,1000,58,2,8056,0.0012945999624207616
hybrid,1000,58,3,8035,0.001361000002361834
hybrid,1000,59,1,7928,0.0016355999978259206
hybrid,1000,59,2,7982,0.0013180000241845846
hybrid,1000,59,3,7851,0.0013010000111535192
hybrid,1000,60,1,7628,0.001336699933744967
hybrid,1000,60,2,8024,0.0019277000101283193
hybrid,1000,60,3,7755,0.0013544999528676271
hybrid,1000,61,1,7745,0.001242100028321147
hybrid,1000,61,2,7826,0.0014239000156521797
hybrid,1000,61,3,7914,0.00251290004234761
hybrid,1000,62,1,7699,0.0021791999461129308
hybrid,1000,62,2,7727,0.0022223000414669514
hybrid,1000,62,3,7668,0.002221499918960035
hybrid,1000,63,1,7631,0.002141100005246699
hybrid,1000,63,2,7789,0.002076099975965917
hybrid,1000,63,3,7572,0.0014733000425621867
hybrid,1000,64,1,7720,0.0011696999426931143
hybrid,1000,64,2,7647,0.0013921000063419342
hybrid,1000,64,3,7710,0.0011907999869436026
hybrid,1000,65,1,7431,0.0013367000501602888
hybrid,1000,65,2,7680,0.0011659000301733613
hybrid,1000,65,3,7508,0.0011402000673115253
hybrid,1000,66,1,7438,0.0015101999742910266
hybrid,1000,66,2,7629,0.0011815999168902636
hybrid,1000,66,3,7684,0.0011886999709531665
hybrid,1000,67,1,7653,0.0014476999640464783
hybrid,1000,67,2,7757,0.0013013000134378672
hybrid,1000,67,3,7795,0.0013062000507488847
hybrid,1000,68,1,7818,0.001234699971973896
hybrid,1000,68,2,7464,0.0011541000567376614
hybrid,1000,68,3,7810,0.0015542999608442187
hybrid,1000,69,1,7621,0.0012366999872028828
hybrid,1000,69,2,7455,0.0012404998997226357
hybrid,1000,69,3,8067,0.00172180007211864
hybrid,1000,70,1,7446,0.001956899999640882
hybrid,1000,70,2,7823,0.0015033999225124717
hybrid,1000,70,3,7464,0.0013131999876350164
hybrid,1000,71,1,7811,0.0015484000323340297
hybrid,1000,71,2,7712,0.0023218999849632382
hybrid,1000,71,3,7604,0.0032051000744104385
hybrid,1000,72,1,7341,0.0020911000901833177
hybrid,1000,72,2,7491,0.0020216000266373158
hybrid,1000,72,3,7584,0.002139999996870756
hybrid,1000,73,1,7619,0.0018035999964922667
hybrid,1000,73,2,7753,0.003068599966354668
hybrid,1000,73,3,7427,0.0022655000211670995
hybrid,1000,74,1,7733,0.0023897000355646014
hybrid,1000,74,2,7597,0.0022061000345274806
hybrid,1000,74,3,7671,0.002120800083503127
hybrid,1000,75,1,7645,0.00213489995803684
hybrid,1000,75,2,7737,0.0013858999591320753
hybrid,1000,75,3,7703,0.0012580999173223972
hybrid,1000,76,1,7775,0.0012155999429523945
hybrid,1000,76,2,7725,0.0012076999992132187
hybrid,1000,76,3,7665,0.001214000047184527
hybrid,1000,77,1,7502,0.0011350000277161598
hybrid,1000,77,2,7556,0.002517599961720407
hybrid,1000,77,3,7752,0.0018344999989494681
hybrid,1000,78,1,7578,0.001978999935090542
hybrid,1000,78,2,7721,0.001787699991837144
hybrid,1000,78,3,7469,0.0021998999873176217
hybrid,1000,79,1,7642,0.0014415000332519412
hybrid,1000,79,2,7727,0.0019061999628320336
hybrid,1000,79,3,7766,0.0015560000902041793
hybrid,1000,80,1,7649,0.0012398000108078122
hybrid,1000,80,2,7930,0.0019311000360175967
hybrid,1000,80,3,7515,0.0021207999670878053
hybrid,1373,0,1,12630,0.0056377999717369676
hybrid,1373,0,2,12642,0.005151099991053343
hybrid,1373,0,3,12606,0.005665500066243112
hybrid,1373,1,1,12646,0.00342550000641495
hybrid,1373,1,2,12633,0.0035217999247834086
hybrid,1373,1,3,12585,0.003614799934439361
hybrid,1373,2,1,12513,0.003705000039190054
hybrid,1373,2,2,12522,0.0035587999736890197
hybrid,1373,2,3,12492,0.005236000055447221
hybrid,1373,3,1,12283,0.004569399985484779
hybrid,1373,3,2,12319,0.0033916999818757176
hybrid,1373,3,3,12319,0.0045455999206751585
hybrid,1373,4,1,12295,0.004207300022244453
hybrid,1373,4,2,12281,0.00468040001578629
hybrid,1373,4,3,12259,0.004543200018815696
hybrid,1373,5,1,12188,0.002776100067421794
hybrid,1373,5,2,12200,0.0030326000414788723
hybrid,1373,5,3,12130,0.003189000068232417
hybrid,1373,6,1,12134,0.0025644999695941806
hybrid,1373,6,2,12049,0.0030886000022292137
hybrid,1373,6,3,12134,0.0027106000343337655
hybrid,1373,7,1,12135,0.004371899995021522
hybrid,1373,7,2,12144,0.0037713999627158046
hybrid,1373,7,3,12113,0.0035297999856993556
hybrid,1373,8,1,12090,0.0034573000157251954
hybrid,1373,8,2,12149,0.002575299935415387
hybrid,1373,8,3,12105,0.0038113000337034464
hybrid,1373,9,1,12097,0.0033111999509856105
hybrid,1373,9,2,12061,0.004103100043721497
hybrid,1373,9,3,12082,0.0036597000434994698
hybrid,1373,10,1,12136,0.0026759000029414892
hybrid,1373,10,2,12043,0.003220299957320094
